title,score,comments,page
Social media has become a freak show,24,4,4
The Relationship Between Two People Is Not Located in Either Person,3,1,4
The Mouse Programming Language on CP/M,7,2,5
Top laptops to use with FreeBSD,330,192,5
Lichess and Take Take Take Sign Cooperation Agreement,193,58,5
I Hate Tailwind and Love Bootstrap,31,16,5
Meta removes ads for social media addiction litigation,624,248,5
Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,341,231,5
"""Negative"" views of Broadcom driving VMware migrations, rival says",74,35,5
EFF is leaving X,1404,1276,5
'Blips' led Australian backyard astronomers to a world-first planetary discovery,8,0,5
Show HN: Druids – Build your own software factory,61,13,5
Understanding Traceroute,176,25,5
Who is Satoshi Nakamoto? My quest to unmask Bitcoin's creator,620,812,5
Why I'm Building a Database Engine in C#,62,37,5
Principles of Mechanical Sympathy,81,19,5
Microsoft starts removing Copilot buttons from Windows 11 apps,40,6,5
Ask HN: Hiring in the age of AI-assisted coding: what works?,20,12,5
"Show HN: Unlegacy – document everything, from COBOL to AI generated code",8,0,5
"Inflation Rose to 3.3% in March, Driven by Rising Fuel Costs",62,1,5
Robots eat cars,67,100,5
Claude mixes up who said what,455,345,5
They're made out of meat (1991),630,178,5
"Artemis II returns to Earth, splashdown in four hours",34,6,5
C# in Unity 2026: Writing more modern code,77,100,5
"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",28,4,5
Project Glasswing: Securing critical software for the AI era,1529,832,5
Research-Driven Agents: When an agent reads before it codes,208,54,5
Microsoft terminated the account VeraCrypt used to sign Windows drivers,1276,493,5
Molotov cocktail attack at OpenAI CEO Sam Altman's home,18,1,5
"Show HN: Moon simulator game, ray-casting",111,25,5
Show HN: Do All the Things,18,6,5
